Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Horsepower,Battery Power,Suspension,Cylinders,Torque
Toyota Corolla,2015,10.50,18.00,35000,Petrol,Dealer,Manual,0,132,1.5 kWh,MacPherson,4,174 Nm
Honda Civic,2017,14.00,20.75,27000,Diesel,Individual,Automatic,1,158,1.8 kWh,Double Wishbone,4,189 Nm
Ford Focus,2014,8.25,14.30,45000,Diesel,Dealer,Manual,0,120,1.6 kWh,Torsion Beam,4,150 Nm
Hyundai Elantra,2016,12.00,18.10,30000,Petrol,Dealer,Automatic,0,147,1.4 kWh,Multi-link,4,178 Nm
BMW 3 Series,2018,22.50,35.00,15000,Diesel,Dealer,Automatic,0,255,2.0 kWh,MacPherson,4,400 Nm
Audi A4,2015,20.00,34.00,40000,Petrol,Individual,Manual,1,188,1.6 kWh,Multi-link,4,320 Nm
Mercedes-Benz C-Class,2017,30.00,42.50,22000,Diesel,Dealer,Automatic,0,201,2.1 kWh,Multi-link,4,400 Nm
Volkswagen Jetta,2014,9.50,16.00,52000,Petrol,Individual,Manual,1,148,1.4 kWh,MacPherson,4,250 Nm
Chevrolet Cruze,2016,11.00,17.20,37000,Diesel,Dealer,Manual,0,153,1.5 kWh,Torsion Beam,4,240 Nm
Skoda Octavia,2018,15.50,25.00,20000,Petrol,Individual,Automatic,0,180,1.8 kWh,MacPherson,4,320 Nm
Mazda 6,2015,13.00,20.10,43000,Diesel,Dealer,Manual,0,168,1.6 kWh,Multi-link,4,290 Nm
Nissan Altima,2016,14.50,22.00,39000,Petrol,Dealer,Automatic,0,182,1.4 kWh,MacPherson,4,244 Nm
Subaru Impreza,2017,17.00,23.50,28000,Diesel,Dealer,Automatic,0,152,1.5 kWh,Double Wishbone,4,250 Nm
Kia Optima,2014,10.00,17.00,51000,Petrol,Individual,Manual,1,165,1.4 kWh,Multi-link,4,195 Nm
Tesla Model 3,2019,35.00,45.00,15000,Electric,Dealer,Automatic,0,283,75 kWh,Independent,0,450 Nm
Jaguar XE,2015,28.00,38.50,32000,Diesel,Dealer,Automatic,0,197,2.0 kWh,MacPherson,4,430 Nm
Lexus IS,2017,25.00,37.00,24000,Petrol,Individual,Automatic,0,241,1.8 kWh,Multi-link,4,350 Nm
Infiniti Q50,2016,22.00,34.00,28000,Diesel,Dealer,Automatic,0,208,1.8 kWh,Double Wishbone,4,400 Nm
Volvo S60,2018,24.50,36.00,18000,Petrol,Dealer,Automatic,0,240,2.0 kWh,MacPherson,4,350 Nm
Alfa Romeo Giulia,2015,23.00,39.00,30000,Diesel,Individual,Automatic,0,280,2.1 kWh,Double Wishbone,4,450 Nm
Acura TLX,2016,19.50,29.50,35000,Petrol,Dealer,Automatic,0,206,1.8 kWh,Multi-link,4,267 Nm
Genesis G70,2017,26.50,40.00,22000,Diesel,Dealer,Automatic,0,252,2.0 kWh,Multi-link,4,350 Nm
Cadillac ATS,2014,18.00,27.00,47000,Petrol,Dealer,Manual,1,202,1.5 kWh,MacPherson,4,260 Nm
Buick Regal,2015,16.50,26.00,42000,Diesel,Individual,Automatic,0,250,2.0 kWh,Multi-link,4,400 Nm
Toyota Camry,2016,14.00,25.00,29000,Petrol,Dealer,Automatic,0,178,1.5 kWh,MacPherson,4,230 Nm
Honda Accord,2017,18.00,27.50,26000,Diesel,Dealer,Automatic,0,192,1.8 kWh,Double Wishbone,4,260 Nm
Ford Fusion,2015,13.50,22.50,31000,Petrol,Individual,Manual,0,175,1.6 kWh,Torsion Beam,4,240 Nm
Hyundai Sonata,2016,15.00,24.00,34000,Diesel,Dealer,Automatic,0,185,1.5 kWh,Multi-link,4,250 Nm
BMW 5 Series,2018,40.00,55.00,20000,Petrol,Dealer,Automatic,0,248,2.0 kWh,MacPherson,6,450 Nm
Audi A6,2017,38.00,60.00,22000,Diesel,Dealer,Automatic,0,335,2.5 kWh,Multi-link,6,500 Nm
Mercedes-Benz E-Class,2016,36.00,58.00,28000,Petrol,Dealer,Automatic,0,295,2.1 kWh,Multi-link,6,440 Nm
Volkswagen Passat,2014,12.50,22.00,47000,Diesel,Individual,Manual,1,140,1.4 kWh,MacPherson,4,250 Nm
Chevrolet Malibu,2015,14.00,24.00,32000,Petrol,Dealer,Automatic,0,160,1.5 kWh,Torsion Beam,4,250 Nm
Skoda Superb,2016,20.00,33.00,26000,Diesel,Dealer,Automatic,0,190,1.8 kWh,MacPherson,4,350 Nm
